domestic,name,production_budget,release_year,worldwide
"$95,020,213",42,"$31,000,000",2013,"$97,470,701"
"$93,772,375",Flight,"$31,000,000",2012,"$160,558,438"
"$40,041,683",A Haunted House,"$2,500,000",2013,"$59,922,558"
"$33,349,941",2016: Obamaâ€™s America,"$2,500,000",2012,"$33,349,941"
"$32,244,051",Kevin Hart: Let Me Explain,"$2,500,000",2013,"$32,327,255"
"$26,782,316",Garden State,"$2,500,000",2004,"$36,028,802"
"$25,857,416",That Thing You Do!,"$2,500,000",1996,"$34,557,416"
"$32,267,774",What's the Worst That Could Happen?,"$30,000,000",2001,"$38,462,071"
"$32,172,757",Side Effects,"$30,000,000",2013,"$66,742,138"
"$31,749,894",9,"$30,000,000",2009,"$48,559,999"
"$30,577,122",Deliver Us from Evil,"$30,000,000",2014,"$87,956,618"
"$100,317,794",Shakespeare in Love,"$26,000,000",1998,"$279,500,000"
"$91,457,688",Kindergarten Cop,"$26,000,000",1990,"$202,000,000"
"$87,341,380",Pineapple Express,"$26,000,000",2008,"$102,404,019"
"$77,324,422",Philadelphia,"$26,000,000",1993,"$201,324,422"
"$65,705,772",Ever After: A Cinderella Story,"$26,000,000",1998,"$65,705,772"
"$25,590,119",Crocodile Dundee in Los Angeles,"$25,000,000",2001,"$39,393,111"
"$25,023,424",Kingpin,"$25,000,000",1996,"$32,223,424"
"$24,381,334",Ice Princess,"$25,000,000",2005,"$25,732,334"
"$24,046,682",Don't Be Afraid of the Dark,"$25,000,000",2011,"$39,126,427"
"$60,400,856",The Wedding Planner,"$28,000,000",2001,"$94,728,529"
"$58,990,765",Dawn of the Dead,"$28,000,000",2004,"$103,452,875"
"$54,800,000",For Your Eyes Only,"$28,000,000",1981,"$195,300,000"
"$54,730,625",Tag,"$28,000,000",2018,"$77,026,186"
"$52,353,636",The Royal Tenenbaums,"$28,000,000",2001,"$71,430,876"
"$33,446,470",Doubt,"$20,000,000",2008,"$53,191,101"
"$32,774,834",Team America: World Police,"$20,000,000",2004,"$50,948,811"
"$32,051,917",Copycat,"$20,000,000",1995,"$32,051,917"
"$4,356,126",Meet the Deedles,"$24,000,000",1998,"$4,356,126"
"$669,276",The Thief and the Cobbler,"$24,000,000",1995,"$669,276"
"$37,729,698",For Colored Girls,"$21,000,000",2010,"$38,017,873"
"$36,605,602",Freedom Writers,"$21,000,000",2007,"$43,632,609"
"$30,718,107",Kidnap,"$21,000,000",2017,"$34,836,080"
"$59,735,548",Predator,"$18,000,000",1987,"$98,267,558"
"$59,689,605",My Big Fat Greek Wedding 2,"$18,000,000",2016,"$92,096,558"
"$57,027,435",The Perfect Guy,"$18,000,000",2015,"$60,278,166"
"$53,883,989",Austin Powers: International Man of Mystery,"$18,000,000",1997,"$67,683,989"
"$11,003,643",The Astronaut Farmer,"$13,000,000",2007,"$11,141,213"
"$10,020,081",Dirty Work,"$13,000,000",1998,"$10,020,081"
"$8,178,001",Bajrangi Bhaijaan,"$13,000,000",2015,"$121,778,347"
"$8,064,972",Woo,"$13,000,000",1998,"$8,064,972"
"$10,525,717",Scoop,"$4,000,000",2006,"$40,103,262"
"$10,097,096",The Wash,"$4,000,000",2001,"$10,097,096"
"$14,124,286",Spring Breakers,"$5,000,000",2013,"$31,149,251"
"$13,985,117",It Comes at Night,"$5,000,000",2017,"$19,720,203"
"$13,649,881",Y Tu MamÃ¡ TambiÃ©n,"$5,000,000",2002,"$33,649,881"
"$5,804,262",Day of the Dead,"$3,500,000",1985,"$34,004,262"
"$3,448,256",First Reformed,"$3,500,000",2018,"$3,874,772"
"$3,293,258",Pootie Tang,"$3,500,000",2001,"$3,293,258"
"$10,027,047",Next Day Air,"$3,000,000",2009,"$10,172,519"
"$10,000,000",Judgment at Nuremberg,"$3,000,000",1961,"$10,000,000"
"$6,173,485",Nowhere in Africa,"$6,500,000",2003,"$6,173,485"
"$4,002,293",Shame,"$6,500,000",2011,"$20,412,841"
"$2,339,957",Layer Cake,"$6,500,000",2005,"$11,745,931"
"$2,274,649",The East,"$6,500,000",2013,"$3,027,956"
"$12,795,746",Beasts of the Southern Wild,"$1,800,000",2012,"$23,265,132"
"$9,164,370",Dr. Strangelove,"$1,800,000",1964,"$9,233,730"
"$8,800,000",Battle for the Planet of the Apes,"$1,800,000",1973,"$8,800,000"
"$6,531,503",Winter's Bone,"$2,000,000",2010,"$16,131,551"
"$6,047,363",Meet the Mormons,"$2,000,000",2014,"$6,049,171"
"$6,003,587",American Splendor,"$2,000,000",2003,"$8,685,632"
"$82,582,604",Mr. Hollandâ€™s Opus,"$31,000,000",1995,"$106,282,604"
"$79,096,868",Out of Africa,"$31,000,000",1985,"$258,210,860"
"$70,300,000",Moonraker,"$31,000,000",1979,"$210,300,000"
"$59,076,019",The Grand Budapest Hotel,"$31,000,000",2014,"$163,981,261"
"$25,533,818",Halloween II,"$2,500,000",1981,"$25,533,818"
"$14,400,000",Halloween 3: Season of the Witch,"$2,500,000",1982,"$14,400,000"
"$13,011,160",Religulous,"$2,500,000",2008,"$13,881,317"
"$12,300,000",Escape from the Planet of the Apes,"$2,500,000",1971,"$12,300,000"
"$30,569,935",Get on Up,"$30,000,000",2014,"$33,339,868"
"$28,780,744",Mollyâ€™s Game,"$30,000,000",2017,"$53,296,424"
"$28,700,285",The Five-Year Engagement,"$30,000,000",2012,"$61,623,819"
"$61,308,153",Flatliners,"$26,000,000",1990,"$61,308,153"
"$58,331,254",Open Range,"$26,000,000",2003,"$68,613,992"
"$57,891,803",Red Eye,"$26,000,000",2005,"$96,666,486"
"$54,544,638",New Yearâ€™s Eve,"$26,000,000",2011,"$146,850,273"
"$23,591,432",The Losers,"$25,000,000",2010,"$29,863,840"
"$23,091,010",Fighting,"$25,000,000",2009,"$32,831,707"
"$22,486,409",War,"$25,000,000",2007,"$40,686,409"
"$22,032,635",Don Juan DeMarco,"$25,000,000",1995,"$22,032,635"
"$21,835,784",A Lot Like Love,"$25,000,000",2005,"$41,921,590"
"$52,131,264",Identity,"$28,000,000",2003,"$82,183,683"
"$50,255,310",Serendipity,"$28,000,000",2001,"$77,477,297"
"$48,071,303",Kick-Ass,"$28,000,000",2010,"$97,531,134"
"$32,015,787",Scary Movie V,"$20,000,000",2013,"$78,613,981"
"$32,010,860",She's Out of My League,"$20,000,000",2010,"$48,680,977"
"$31,841,299",Milk,"$20,000,000",2008,"$57,293,371"
"$31,678,778",Paint Your Wagon,"$20,000,000",1969,"$31,678,778"
"$49,981",The Bridge of San Luis Rey,"$24,000,000",2005,"$1,696,765"
$0,Flood,"$24,000,000",2007,"$4,084,232"
"$75,590,286",Zombieland,"$23,600,000",2009,"$102,236,596"
"$290,271,960",Star Wars Ep. V: The Empire Strikes Back,"$23,000,000",1980,"$534,161,334"
"$25,296,447",The Transporter,"$21,000,000",2002,"$43,928,932"
"$24,850,922",Never Back Down,"$21,000,000",2008,"$39,319,801"
"$24,149,393",Tinker Tailor Soldier Spy,"$21,000,000",2011,"$81,452,811"
